Customer_ID,Recency,Monetary,Age,Gender
CUST001,39,150,34,0
CUST002,309,1000,26,1
CUST003,354,30,50,0
CUST004,226,500,37,0
CUST005,241,100,30,0
CUST006,252,30,45,1
CUST007,295,50,46,0
CUST008,314,100,30,0
CUST009,20,600,63,0
CUST010,87,200,52,1
CUST011,322,100,23,0
CUST012,64,75,35,0
CUST013,150,1500,22,0
CUST014,350,120,64,0
CUST015,351,2000,42,1
CUST016,319,1500,19,0
CUST017,255,100,27,1
CUST018,247,50,47,1
CUST019,108,50,62,1
CUST020,58,900,22,0
CUST021,353,500,50,1
CUST022,79,100,18,0
CUST023,265,120,35,1
CUST024,34,300,49,1
CUST025,7,50,64,1
CUST026,87,1000,28,1
CUST027,152,50,38,1
CUST028,254,500,43,1
CUST029,137,30,42,1
CUST030,65,900,39,1
CUST031,224,1200,44,0
CUST032,363,90,30,0
CUST033,285,100,50,1
CUST034,9,150,51,1
CUST035,150,900,58,1
CUST036,192,900,52,0
CUST037,224,75,18,1
CUST038,287,200,38,0
CUST039,256,120,23,0
CUST040,194,50,45,0
CUST041,314,50,34,0
CUST042,319,900,22,0
CUST043,172,300,48,1
CUST044,317,25,22,1
CUST045,183,30,55,1
CUST046,190,1200,20,1
CUST047,57,1500,40,1
CUST048,231,900,54,0
CUST049,344,1000,54,1
CUST050,131,75,27,1
CUST051,92,75,27,0
CUST052,303,300,36,1
CUST053,173,100,34,0
CUST054,326,1500,38,1
CUST055,84,120,31,0
CUST056,216,900,26,1
CUST057,45,30,63,1
CUST058,50,1200,18,0
CUST059,181,50,62,0
CUST060,71,150,30,0
CUST061,268,200,21,0
CUST062,6,100,18,0
CUST063,331,50,57,0
CUST064,343,100,49,0
CUST065,28,2000,51,0
CUST066,250,30,45,1
CUST067,218,1200,48,1
CUST068,326,300,25,0
CUST069,247,75,56,1
CUST070,315,300,43,1
CUST071,172,100,51,1
CUST072,224,2000,20,1
CUST073,134,90,29,0
CUST074,41,2000,18,1
CUST075,180,200,61,0
CUST076,283,100,22,1
CUST077,177,100,47,1
CUST078,185,1500,47,1
CUST079,259,300,34,0
CUST080,23,60,64,1
CUST081,230,50,40,0
CUST082,7,200,32,1
CUST083,17,100,54,0
CUST084,35,90,38,1
CUST085,330,150,31,0
CUST086,55,90,19,0
CUST087,41,100,28,1
CUST088,279,500,56,0
CUST089,93,2000,55,1
CUST090,241,30,51,1
CUST091,283,500,55,1
CUST092,130,120,51,1
CUST093,172,2000,35,1
CUST094,228,1000,47,1
CUST095,39,60,32,1
CUST096,14,600,44,1
CUST097,81,1000,51,1
CUST098,254,100,55,1
CUST099,16,1200,50,1
CUST100,200,30,41,0
CUST1000,265,120,47,0
CUST101,338,600,32,0
CUST102,249,50,47,1
CUST103,350,25,59,1
CUST104,205,1000,34,1
CUST105,161,500,22,1
CUST106,229,50,46,1
CUST107,333,1200,21,1
CUST108,258,75,27,1
CUST109,76,2000,34,1
CUST110,205,900,27,0
CUST111,258,1500,34,1
CUST112,31,1500,37,0
CUST113,111,50,41,1
CUST114,164,100,22,1
CUST115,37,1500,51,0
CUST116,132,30,23,1
CUST117,293,1000,19,0
CUST118,231,2000,30,1
CUST119,295,150,60,1
CUST120,240,50,60,0
CUST121,79,200,28,1
CUST122,91,120,64,0
CUST123,232,60,40,1
CUST124,67,2000,33,0
CUST125,147,100,48,0
CUST126,68,90,28,1
CUST127,162,50,33,1
CUST128,181,500,25,0
CUST129,254,600,21,1
CUST130,296,500,57,1
CUST131,106,600,21,1
CUST132,114,200,42,0
CUST133,320,900,20,0
CUST134,342,50,49,0
CUST135,310,50,20,0
CUST136,288,600,44,0
CUST137,45,1000,46,0
CUST138,285,200,49,0
CUST139,18,2000,36,0
CUST140,150,30,38,0
CUST141,61,50,22,1
CUST142,334,1200,35,0
CUST143,169,50,45,1
CUST144,171,1500,59,1
CUST145,61,75,39,1
CUST146,127,200,38,0
CUST147,96,300,23,0
CUST148,238,60,18,0
CUST149,83,75,22,0
CUST150,361,120,58,1
CUST151,18,50,29,0
CUST152,308,2000,43,0
CUST153,17,1000,63,0
CUST154,92,900,51,0
CUST155,230,2000,31,0
CUST156,38,100,43,1
CUST157,192,2000,62,0
CUST158,309,600,44,1
CUST159,216,200,26,0
CUST160,144,100,43,1
CUST161,286,1000,64,0
CUST162,134,60,39,0
CUST163,365,150,64,1
CUST164,232,1500,47,1
CUST165,110,1200,60,1
CUST166,275,2000,34,0
CUST167,107,150,43,1
CUST168,312,300,53,0
CUST169,46,1500,18,0
CUST170,214,50,25,1
CUST171,39,900,52,1
CUST172,107,50,32,0
CUST173,55,120,64,0
CUST174,265,300,39,1
CUST175,288,100,31,1
CUST176,175,100,43,1
CUST177,284,100,45,0
CUST178,90,60,40,0
CUST179,95,300,31,0
CUST180,366,900,41,0
CUST181,60,1200,19,0
CUST182,201,120,62,0
CUST183,116,900,43,1
CUST184,357,200,31,0
CUST185,309,25,24,0
CUST186,181,200,20,0
CUST187,209,100,64,1
CUST188,244,75,40,0
CUST189,337,50,63,0
CUST190,243,90,60,1
CUST191,76,25,64,0
CUST192,326,100,62,0
CUST193,323,1500,35,0
CUST194,118,200,55,0
CUST195,331,30,52,0
CUST196,94,900,32,1
CUST197,302,200,42,1
CUST198,301,900,54,1
CUST199,29,1500,45,0
CUST200,123,150,27,0
CUST201,85,25,56,0
CUST202,282,1200,34,1
CUST203,231,1000,56,0
CUST204,96,25,39,0
CUST205,56,25,43,1
CUST206,150,25,61,0
CUST207,258,50,42,1
CUST208,90,200,34,1
CUST209,13,200,30,1
CUST210,264,200,37,0
CUST211,1,1500,42,0
CUST212,207,1500,21,0
CUST213,162,1500,27,0
CUST214,23,60,20,0
CUST215,34,1500,58,0
CUST216,175,100,62,0
CUST217,142,200,35,1
CUST218,102,90,64,0
CUST219,135,90,53,1
CUST220,305,500,64,0
CUST221,240,600,39,0
CUST222,251,120,51,0
CUST223,334,25,64,1
CUST224,193,50,25,1
CUST225,356,100,57,1
CUST226,65,50,61,1
CUST227,83,100,36,0
CUST228,249,60,59,1
CUST229,65,90,58,0
CUST230,254,25,54,0
CUST231,363,150,23,1
CUST232,330,25,43,1
CUST233,4,600,51,1
CUST234,43,50,62,1
CUST235,336,1000,23,1
CUST236,249,25,54,1
CUST237,332,1000,50,1
CUST238,350,500,39,1
CUST239,197,1500,38,0
CUST240,330,300,23,1
CUST241,103,75,23,1
CUST242,245,25,21,0
CUST243,224,900,47,1
CUST244,24,100,28,0
CUST245,118,90,47,0
CUST246,257,50,48,1
CUST247,90,60,41,0
CUST248,299,900,26,0
CUST249,74,50,20,0
CUST250,71,50,48,0
CUST251,124,200,57,1
CUST252,242,300,54,0
CUST253,124,2000,53,1
CUST254,158,500,41,0
CUST255,269,30,48,0
CUST256,318,1000,23,0
CUST257,317,2000,19,0
CUST258,29,50,37,1
CUST259,146,200,45,1
CUST260,185,60,28,0
CUST261,150,50,21,0
CUST262,156,120,32,1
CUST263,127,60,23,0
CUST264,339,900,47,0
CUST265,22,900,55,0
CUST266,32,60,19,1
CUST267,36,90,32,1
CUST268,316,30,28,1
CUST269,335,2000,25,0
CUST270,160,300,43,0
CUST271,193,120,62,1
CUST272,311,100,61,1
CUST273,239,50,22,1
CUST274,268,1000,23,1
CUST275,269,1000,43,0
CUST276,92,100,21,1
CUST277,137,100,36,0
CUST278,295,100,37,1
CUST279,150,500,50,0
CUST280,273,1500,37,1
CUST281,224,2000,29,1
CUST282,130,200,64,1
CUST283,239,500,18,1
CUST284,328,200,43,0
CUST285,140,25,31,1
CUST286,85,50,55,0
CUST287,316,100,54,0
CUST288,341,120,28,0
CUST289,33,60,53,0
CUST290,90,600,30,1
CUST291,359,600,60,0
CUST292,319,1200,20,0
CUST293,245,90,50,0
CUST294,281,90,23,1
CUST295,158,900,27,1
CUST296,118,1200,22,1
CUST297,120,1000,40,1
CUST298,257,1200,27,0
CUST299,161,1000,61,0
CUST300,336,200,19,1
CUST301,282,120,30,0
CUST302,172,600,57,0
CUST303,365,90,19,0
CUST304,167,60,37,1
CUST305,231,30,18,1
CUST306,134,50,54,0
CUST307,220,50,26,1
CUST308,150,1200,34,1
CUST309,10,25,26,1
CUST310,82,25,28,1
CUST311,28,100,32,1
CUST312,117,120,41,0
CUST313,287,1500,55,1
CUST314,269,120,52,0
CUST315,215,60,47,0
CUST316,255,50,48,1
CUST317,337,90,22,0
CUST318,70,25,61,0
CUST319,89,500,31,0
CUST320,335,1200,28,1
CUST321,206,50,26,1
CUST322,337,500,51,0
CUST323,341,900,29,1
CUST324,67,150,52,1
CUST325,122,50,52,1
CUST326,109,75,18,1
CUST327,95,150,57,0
CUST328,286,100,39,0
CUST329,337,100,46,1
CUST330,106,200,25,1
CUST331,325,90,28,0
CUST332,271,1200,58,0
CUST333,331,1200,54,1
CUST334,62,900,31,0
CUST335,332,120,47,1
CUST336,21,150,52,1
CUST337,246,500,38,0
CUST338,160,100,54,0
CUST339,305,50,22,1
CUST340,75,1200,36,1
CUST341,240,200,31,0
CUST342,70,2000,43,1
CUST343,62,50,21,0
CUST344,346,30,42,1
CUST345,49,30,62,0
CUST346,325,1000,59,0
CUST347,152,25,42,0
CUST348,30,600,35,1
CUST349,68,50,57,1
CUST350,77,75,25,0
CUST351,99,90,56,1
CUST352,205,1000,57,0
CUST353,233,500,31,0
CUST354,262,200,49,1
CUST355,24,500,55,1
CUST356,206,1500,50,0
CUST357,244,75,40,1
CUST358,231,300,32,1
CUST359,164,50,50,0
CUST360,299,100,42,0
CUST361,23,1200,34,1
CUST362,36,25,50,0
CUST363,213,25,64,0
CUST364,132,500,19,1
CUST365,205,300,31,0
CUST366,329,100,57,0
CUST367,362,50,57,1
CUST368,132,1200,56,1
CUST369,48,1500,23,0
CUST370,78,60,23,0
CUST371,315,25,20,1
CUST372,329,1500,24,1
CUST373,91,600,25,1
CUST374,257,75,59,1
CUST375,107,50,32,0
CUST376,231,30,64,1
CUST377,299,200,46,1
CUST378,188,300,50,0
CUST379,331,25,47,1
CUST380,241,600,56,0
CUST381,177,100,44,1
CUST382,221,1000,53,1
CUST383,286,90,46,1
CUST384,142,500,55,0
CUST385,88,1500,50,0
CUST386,6,600,54,1
CUST387,212,30,44,0
CUST388,53,25,50,0
CUST389,32,50,21,0
CUST390,96,100,39,0
CUST391,362,50,19,0
